invasive_species_agency_code,description
MOF   ,"Forests, Lands, Natural Resource Operations & Rural Development"
MOT   ,Ministry of Transportation & Infrastructure
MWLA  ,Environment & Climate Change Strategy
MAFF  ,Ministry of Agriculture
MEM   ,"Energy, Mines & Petroleum Resources"
BCTC  ,British Columbia Transmission Corporation
AAFC  ,Agriculture and Agri-Food Canada
DND   ,Department of National Defense
OGC   ,BC Oil and Gas Commission
PCAN  ,Parks Canada
CPR   ,CP Rail
HYDR  ,BC Hydro and Power Authority
COQ   ,City of Coquitlam
SUR   ,City of Surrey
RICH  ,City of Richmond
CPM   ,City of Port Moody
PITT  ,City of Pitt Meadows
BBY   ,City of Burnaby
CABB  ,City of Abbotsford
COLW  ,City of Colwood
NAN   ,City of Nanaimo
KELO  ,City of Kelowna
KAM   ,City of Kamloops
PG    ,City of Prince George
VIC   ,City of Victoria
MISS  ,District of Mission
DOT   ,District of Tofino
KENT  ,District of Kent
DSEC  ,District of Sechelt
DWV   ,District of West Vancouver
DSAN  ,District of Saanich
DCS   ,District of Central Saanich
SID   ,Town of Sidney
GIBS  ,Town of Gibsons
DLT   ,The Corporation of Delta
LANG  ,Township of Langley
BIM   ,Bowen Island Municipality
NCOW  ,Municipality of North Cowichan
ACRD  ,Alberni-Clayoquot Regional District
RDBN  ,Regional District of Bulkley-Nechako
CRD   ,Capital Regional District
CBRD  ,Cariboo Regional District
CCRD  ,Central Coast Regional District
CKRD  ,Regional District of Central Kootenay
RDCO  ,Regional District of Central Okanagan
CSRD  ,Columbia-Shuswap Regional District
CMRD  ,Comox Valley Regional District
CVRD  ,Cowichan Valley Regional District
RDEK  ,East Kootenay Regional District of East Kootenay
VFRD  ,Fraser Valley Regional District
RDFG  ,Regional District Fraser-Fort George
MVRD  ,Metro Vancouver Regional District
RDKS  ,Regional District of Kitimat-Stikine
RDKB  ,Regional District of Kootenay Boundary
RDMW  ,Regional District of Mount Waddington
RDN   ,Regional District of Nanaimo
RDNO  ,Regional District of North Okanagan
NRRM  ,Northern Rockies Regional Municipality
RDOS  ,Regional District of Okanagan-Similkameen
PRRD  ,Peace River Regional District
NCRD  ,North Coast Regional District
SLRD  ,Squamish-Lillooet Regional District
RDST  ,Regional District of Stikine
RDS   ,Strathcona Regional District
SCRD  ,Sunshine Coast Regional District
TNRD  ,Thompson-Nicola Regional District
QRD   ,qathet Regional District
ISCBC ,ISCBC - Invasive Species Council of BC
CISC  ,CISC - Coastal Invasive Species Committee
ISCM  ,ISCMV - Invasive Species Council of Metro Vancouver
FVISS ,FVISS - Fraser Valley Invasive Species Society
SSISC ,SSISC - Sea to Sky Invasive Species Council
LRISS ,LRISS - Lillooet Regional Invasive Species Society
OASISS,OASISS - Okanagan and Similkameen Invasive Species Society
BISS  ,BISS - Boundary Invasive Species Society
CKISS ,CKISS - Central Kootenay Invasive Species Society
EKISC ,EKISC - East Kootenay Invasive Species Council
CSISS ,CSISS - Columbia Shuswap Invasive Species Society
CCCIPC,CCCIPC - Cariboo Chilcotin Coast Invasive Plant Committee
NWIPC ,NWIPC - Northwest Invasive Plant Council
TNIPMC,TNIPMC - Thompson Nicola Invasive Plant Management Committee
AATR  ,A & A Trading
APO   ,Apollo Forest Products Ltd.
ATCO  ,ATCO Wood Products Ltd.
BEL   ,Bella Bella Asset Holdings Ltd.
CAN   ,Canfor
CAR   ,Carrier Lumber Ltd.
DHC   ,Diamond Head Consulting Ltd
DUC   ,Ducks Unlimited Canada - Canards Illimites Canada
FRS   ,FortisBC Inc
FWCP  ,Fish and Wildlife Compensation Program - Columbia Basin
GBL   ,Gorman Brothers Lumber Ltd.
GIBR  ,Gibraltar Mines Ltd.
KMC   ,Kinder Morgan Canada
LM    ,Lakeland Mills Ltd.
LNT   ,Lower North Thompson Community Forest Society
LPC   ,Louisiana-Pacific Canada Ltd.
LKB   ,Lower Kootenay Band
MC    ,Meadow Creek Cedar Ltd.
MTP   ,Mill & Timber Products Ltd.
NCC   ,The Nature Conservancy of Canada
NTBC  ,The Nature Trust of BC
OIB   ,Osoyoos Indian Band
POTA  ,Pope and Talbot Ltd.
RBCM  ,Royal BC Museum
RPC   ,Richmond Plywood Corporation Limited
SIB   ,Skeetchestn Indian Band
SIFC  ,Slocan Integral Forestry Cooperative
SIGD  ,Sechelt Indian Government District
TCP   ,Teal Cedar Products Ltd.
TER   ,Terasen Gas Inc
TOL   ,Tolko
TPIB  ,Tobacco Plains Indian Band
TRU   ,Thompson Rivers University
TTM   ,Ts'elxweyeqw Tribe Management Ltd
UBC   ,University of British Columbia
WBL   ,Wynndel Box & Lumber Co. Ltd.
WCE   ,Spectra Energy
WDLT  ,Woodlots
WEY   ,Weyerhaeuser Company Limited
WFM   ,West Fraser Mills
WFP   ,Western Forest Products Inc.
